Plasmid_48	Plasmid_48_noise	Plasmid_48_expression	Plasmid_48_mixture
0.9822870539202917	0.919255806239481	0.06308059556455588	0.9823364018040369
0.012633498306850743	0.008977813772044317	0.0017204101793974799	0.010698223951441797
0.003125814014066163	0.002063780922201202	0.0007053503803609444	0.0027691313025621465
0.0009116957541026309	0.0006123758703700204	0.00041582283052502076	0.0010281987008950411
0.0005209690023443605	0.00020302348739803538	0.0002911057287724517	0.0004941292161704872
0.00026048450117218026	7.155314072901848e-5	0.00022374713697860424	0.0002953002777076227
0	2.621523401522214e-5	0.00018166157228241585	0.000207876806297638
0.00013024225058609013	9.865550055480738e-6	0.0001526844634774204	0.0001625500135329011
0	3.7863445794307604e-6	0.00013137695612816977	0.00013516330070760052
0	1.4751636088853906e-6	0.00011497638730199091	0.0001164515509108763
0	5.815772804627636e-7	0.00010192940170310995	0.00010251097898357271
0	2.3149464478068017e-7	9.128954599741931e-5	9.15210406422e-5
0	9.287866562038069e-8	8.244281526669418e-5	8.253569393231456e-5
0	3.751299850178636e-8	7.497094752307024e-5	7.500846052157203e-5
0	1.5237373574849093e-8	6.85778916434145e-5	6.859312901698935e-5
0	6.219584014532095e-9	6.304758744746575e-5	6.305380703148028e-5
0	2.5495384328111395e-9	5.8218365377767806e-5	5.8220914916200616e-5
0	1.0490270920505461e-9	5.39667075893782e-5	5.3967756616470255e-5
0	4.33063013841501e-10	5.019655660053444e-5	5.019698966354828e-5
0	1.7930779545285657e-10	4.683205527393975e-5	4.68322345817352e-5
0	7.443879007777809e-11	4.381248697177269e-5	4.3812561410562766e-5
0	3.097698378560258e-11	4.1088669959989284e-5	4.108870093697307e-5
0	1.291879325680486e-11	3.8620338197139726e-5	3.8620351115932986e-5
0	5.398386357746793e-12	3.6374206233851815e-5	3.637421163223817e-5
0	2.259914815107014e-12	3.432251789609415e-5	3.4322520156008964e-5
0	9.47637221498256e-13	3.2441943018596333e-5	3.244194396623355e-5
0	3.9797654661367647e-13	3.071272845450002e-5	3.071272885247657e-5
0	1.6737399152609832e-13	2.911803744606952e-5	2.9118037613443513e-5
0	7.048372809425593e-14	2.7643430298557063e-5	2.7643430369040792e-5
0	2.971803856011043e-14	2.6276452285741053e-5	2.627645231545909e-5
0.00013024225058609013	1.2544283126318687e-14	2.5006303799303162e-5	2.5006303811847446e-5
