Plasmid_26	Plasmid_26_contaminant	Plasmid_26_expression	Plasmid_26_mixture
0.5282854656222803	0.5347505631186246	0.0006124805140727814	0.5353630436326974
0.1617831931147858	0.13838416927177954	0.0006648203296593747	0.13904898960143894
0.09273764626245044	0.09124312500005574	0.0006958797616381482	0.0919390047616939
0.05512039454598201	0.06056447818018446	0.0007061004301612988	0.06127057861034576
0.03529639299874287	0.040129717946786506	0.0007032944256692089	0.040833012372455714
0.027656899719562904	0.02648756846860271	0.0006930387181594997	0.027180607186762216
0.017116333043225993	0.01740817000258057	0.000678885211060835	0.0180870552136414
0.012764722947490571	0.011392743926653624	0.0006630012017732437	0.01205574512842687
0.00725268349289237	0.007426243083526254	0.0006466611777510424	0.008072904261277297
0.005415337008026303	0.004822769559224945	0.0006305798342980331	0.0054533493935229795
0.004641717435451117	0.0031212676090222407	0.0006151289207408034	0.0037363965297630445
0.0026109660574412533	0.00201365772959693	0.0006004754421991831	0.002614133171796113
0.0027076685040131514	0.0012952797380091832	0.0005866682103531183	0.0018819479483623016
0.0016439415917222705	0.0008309172491837801	0.0005736910831247075	0.0014046083323084877
0.001450536698578474	0.0005316817945171693	0.0005614950359070742	0.0010931768304242432
0.0012571318054346776	0.00033940681841800854	0.0005500169719633505	0.0008894237903813589
0.0006769171260032879	0.00021618791335079258	0.00053919035319844	0.0007553782665492326
0.0006769171260032879	0.00013741841049111874	0.0005289508757946472	0.0006663692862857658
0.0008703220191470844	8.717978128787421e-5	0.0005192392109999382	0.0006064189922878123
0.0003868097862875931	5.5206912653800874e-5	0.000510002059355065	0.0005652089720088662
0.00019340489314379654	3.489979697297279e-5	0.0005011922773058116	0.0005360920742787842
9.670244657189827e-5	2.2026474751423757e-5	0.0004927685286016724	0.0005147950033530959
0.00019340489314379654	1.388024379687861e-5	0.0004846947232974736	0.0004985749670943522
0.0005802146794313896	8.734004210998083e-6	0.00047693939163761324	0.0004856733958486114
9.670244657189827e-5	5.488141591093939e-6	0.0004694750709321154	0.0004749632125232094
0.0002901073397156948	3.443988846425047e-6	0.000462277743050383	0.000465721731896808
9.670244657189827e-5	2.158486643505641e-6	0.000455326337183787	0.0004574848238272928
0	1.3511789753768047e-6	0.00044860230006710857	0.00044995347904248543
0.00019340489314379654	8.448413508948807e-7	0.0004420892295734171	0.00044293407092431197
0.00048351223285949136	5.276640193060403e-7	0.0004357725648634572	0.00043630022888276336
0.00019340489314379654	3.2921501556512265e-7	0.00042963932548819184	0.00042996854050375696
0.0002901073397156948	2.0519184433112119e-7	0.00042367789207228785	0.00042388308391661905
0.00019340489314379654	1.2776624272324187e-7	0.00041787782190558714	0.0004180055881483103
9.670244657189827e-5	7.948110252169233e-8	0.0004122296936373267	0.00041230917473984816
