Plasmid_1	Plasmid_2	Plasmid_3	Plasmid_4	Plasmid_5	Plasmid_6	Plasmid_7	Plasmid_8	Plasmid_9	Plasmid_10	Plasmid_11	Plasmid_12	Plasmid_13	Plasmid_14	Plasmid_15	Plasmid_16	Plasmid_17	Plasmid_18	Plasmid_19	Plasmid_20	Plasmid_21	Plasmid_22	Plasmid_23	Plasmid_24	Plasmid_25	Plasmid_26	Plasmid_27	Plasmid_28	Plasmid_29	Plasmid_30	Plasmid_31	Plasmid_32	Plasmid_33	Plasmid_34	Plasmid_35	Plasmid_36	Plasmid_37	Plasmid_38	Plasmid_39	Plasmid_40	Plasmid_41	Plasmid_42	Plasmid_43	Plasmid_44	Plasmid_45	Plasmid_46	Plasmid_47	Plasmid_48	Plasmid_49	Plasmid_50	Plasmid_51	Plasmid_52	Plasmid_53	Plasmid_54	Plasmid_55	Plasmid_56	Plasmid_57	Plasmid_58	Plasmid_59	Plasmid_60	Plasmid_61	Plasmid_62	Plasmid_63	Plasmid_64	Plasmid_65	Plasmid_66	Plasmid_67	Plasmid_68	Plasmid_69	Plasmid_70	Plasmid_71	Plasmid_72	Plasmid_73	Plasmid_74	Plasmid_75	Plasmid_76	Plasmid_77	Plasmid_78	Plasmid_79	Plasmid_80
0	4	0	7	2	57	5	5	13	7	2	2	0	2	4	10	18	12	13	0	5	1	4	0	0	2	9	9	6	5	15	5	8	0	0	2	0	0	1	7	1	0	8	0	12	5	1	0	0	3	0	13	0	3	7	0	1	6	8	18	9	9	24	0	16	3	4	0	0	0	0	13	7	10	5	10	0	5	0	0
0	5	0	11	1	46	3	5	14	10	2	2	0	0	3	20	6	7	10	0	2	5	0	0	0	2	11	9	7	10	13	1	5	0	0	5	0	0	1	2	6	2	14	0	14	1	0	0	0	1	1	8	0	13	9	0	4	14	14	13	6	9	17	4	16	2	7	0	0	0	0	8	5	3	5	6	0	3	0	0
0	3	0	8	2	36	3	4	14	12	0	3	0	2	6	10	8	7	10	0	8	1	3	0	0	3	1	7	5	12	13	2	7	0	0	5	2	0	2	4	2	0	6	0	12	1	0	0	0	2	1	9	0	11	9	0	3	9	10	14	8	4	15	2	17	4	10	0	0	0	0	7	2	5	6	5	0	4	0	0
0	1	0	8	3	42	2	6	11	11	1	2	0	2	5	14	7	8	8	0	6	3	2	0	0	5	8	5	6	10	13	3	3	0	0	3	0	0	8	2	7	0	8	0	15	2	0	0	0	6	2	13	1	6	7	0	5	8	6	11	8	6	11	4	15	6	9	0	0	0	0	4	9	8	6	8	0	1	0	0
0	1	0	8	2	38	1	5	8	6	0	2	0	1	5	15	11	11	11	0	3	2	1	0	0	3	9	6	6	5	18	5	3	0	0	7	1	0	5	2	4	0	8	0	8	0	0	0	0	2	0	14	0	10	12	0	1	1	8	15	4	8	16	4	8	3	9	0	0	0	0	5	7	6	5	2	0	1	0	0
0	2	0	8	0	41	2	7	5	9	3	0	0	1	8	8	4	4	14	0	5	1	1	0	0	5	5	7	5	11	7	2	5	0	0	2	0	0	7	5	3	0	3	0	10	2	0	0	0	2	4	11	0	8	6	0	4	5	10	16	12	6	6	3	10	3	6	0	0	0	0	9	6	11	8	5	0	2	0	0
0	2	0	14	3	32	6	3	9	9	3	0	1	3	9	10	6	11	14	0	7	3	1	0	0	3	2	5	2	10	7	1	9	0	0	8	1	0	5	7	6	1	9	0	11	1	0	1	0	7	1	11	0	9	7	0	0	6	13	11	1	4	12	1	13	1	9	0	0	0	0	15	10	7	5	6	0	2	0	0
0	1	0	6	4	24	1	7	7	7	0	3	0	0	8	10	11	7	14	0	3	1	0	0	0	1	1	6	2	8	12	1	5	0	0	10	1	0	2	7	9	0	8	0	8	0	1	0	0	2	2	9	0	8	3	0	5	3	9	12	6	3	8	2	13	3	7	0	0	0	0	8	8	5	3	7	0	1	0	0
0	2	0	6	2	26	4	6	5	8	0	0	0	1	5	3	7	12	10	0	2	2	1	0	2	8	3	7	7	7	9	3	6	0	0	3	1	0	5	2	7	1	8	0	5	0	1	0	0	5	0	6	0	12	5	0	1	3	10	6	7	4	5	7	7	3	15	0	0	0	0	8	13	4	3	12	0	2	0	0
0	1	0	5	2	24	2	4	9	7	2	0	0	0	3	9	7	11	11	0	3	2	4	0	1	7	4	6	2	10	17	0	7	0	0	4	0	0	1	0	5	1	8	0	7	1	0	0	0	2	5	9	0	12	7	0	2	2	10	2	6	10	8	0	13	0	7	0	0	0	0	7	4	5	7	7	0	1	0	0
