Plasmid_10	Plasmid_10_contaminant	Plasmid_10_expression	Plasmid_10_mixture
0.8532335649385355	0.8507652850468156	1.1064589349345657e-16	0.8507652850468157
0.0718332442544094	0.05875941788288033	1.930374304731924e-15	0.05875941788288226
0.008979155531801175	0.013323760168083572	1.759569121741397e-14	0.013323760168101167
0.001817210048102619	0.0023367396560424543	1.1152328183502485e-13	0.002336739656153977
0.0006413682522715125	0.0003646759670805786	5.51993185610053e-13	0.00036467596763257174
0.00042757883484767506	5.404214300129738e-5	2.2722649311551974e-12	5.404214527356231e-5
0.00032068412613575625	7.773289334478973e-6	8.09171041371744e-12	7.773297426189385e-6
0.0006413682522715125	1.0894298731868404e-6	2.5605185086176308e-11	1.0894554783719264e-6
0.00042757883484767506	1.4888233195055901e-7	7.340621792411769e-11	1.4895573816848314e-7
0.00010689470871191876	1.9877375160382784e-8	1.9345829067594881e-10	2.0070833451058734e-8
0.00032068412613575625	2.5993201016801967e-9	4.74036959062453e-10	3.0733570607426497e-9
0.00042757883484767506	3.3369669890145966e-10	1.0897523811687257e-9	1.4234490800701854e-9
0	4.213253790954565e-11	2.3676693237505976e-9	2.4098018616601425e-9
0.00042757883484767506	5.2391992571563726e-12	4.891316039106092e-9	4.896555238363248e-9
0.00021378941742383753	6.423899998297125e-13	9.657156081127056e-9	9.657798471126885e-9
0.00010689470871191876	7.774285129742221e-14	1.830053254518155e-8	1.8300610288032853e-8
0.00032068412613575625	9.294827582928931e-15	3.340975447732664e-8	3.340976377215423e-8
0	1.0987217472114563e-15	5.894742119151761e-8	5.8947422290239354e-8
0.0007482629609834314	1.285007556647034e-16	1.0079683481182975e-7	1.0079683494033052e-7
0.00010689470871191876	1.4878764226982363e-17	1.6744807830797932e-7	1.674480783228581e-7
0.00021378941742383753	1.7065308589808293e-18	2.7083281746639074e-7	2.7083281746809725e-7
0.00021378941742383753	1.939841667695054e-19	4.273090880568319e-7	4.2730908805702586e-7
0.00042757883484767506	2.1863586076627744e-20	6.587874380181952e-7	6.587874380182168e-7
0.0005344735435595938	2.4443291492006337e-21	9.939782194484032e-7	9.939782194484057e-7
0.00032068412613575625	2.7117250472789975e-22	1.4697271901019062e-6	1.4697271901019066e-6
0.00032068412613575625	2.986276230741142e-23	2.1323936888222857e-6	2.132393688822286e-6
0.00021378941742383753	3.2655110661319194e-24	3.0392134136126034e-6	3.0392134136126038e-6
0.0005344735435595938	3.546801712274918e-25	4.259577223736461e-6	4.259577223736463e-6
0.0006413682522715125	3.8274131239792907e-26	5.876149348031938e-6	5.876149348031938e-6
0.0007482629609834314	4.104554235890822e-27	7.985743742706206e-6	7.985743742706206e-6
0.0008551576696953501	4.375429886896129e-28	1.0699876756981202e-5	1.0699876756981202e-5
0.0008551576696953501	4.6372920977730866e-29	1.4144918152027352e-5	1.4144918152027355e-5
0.0007482629609834314	4.8874893910349505e-30	1.8461771021091094e-5	1.84617710210911e-5
0.0007482629609834314	5.123512952237762e-31	2.3805024128359263e-5	2.380502412835927e-5
0.0007482629609834314	5.343038578885586e-32	3.0341537186467814e-5	3.0341537186467827e-5
0.00042757883484767506	5.543963539447215e-33	3.824843993418247e-5	3.8248439934182485e-5
0.0006413682522715125	5.7244376596210755e-34	4.771054865034539e-5	4.77105486503454e-5
