Plasmid_9	Plasmid_9_contaminant	Plasmid_9_expression	Plasmid_9_mixture
0.95058504980176	0.9497052451319197	0.000159073895354973	0.9498643190272746
0.031331592689295036	0.03233408321120059	0.00016349339050286213	0.03249757660170346
0.0016439415917222705	0.0005504302216229304	0.0001622973289547848	0.0007127275505777153
0.0003868097862875931	6.246729947403565e-6	0.00016092335369703525	0.00016717008364443883
0.00019340489314379654	5.3169730016914095e-8	0.00015951355065449695	0.00015956672038451382
9.670244657189827e-5	3.620480108952466e-10	0.00015808880642421603	0.00015808916847222693
9.670244657189827e-5	2.054407682584095e-12	0.0001566588673941727	0.00015665886944858044
0.00019340489314379654	9.992181303304834e-15	0.00015522922226158747	0.00015522922227157967
0	4.252477589475438e-17	0.00015380325202215777	0.0001538032520222003
0.0002901073397156948	1.6086858403544279e-19	0.00015238317073559804	0.00015238317073559815
9.670244657189827e-5	5.477002689974085e-22	0.00015097049326248403	0.00015097049326248405
0	1.6952040611198664e-24	0.0001495662897016369	0.00014956628970163688
9.670244657189827e-5	4.809638696951802e-27	0.00014817133364479216	0.00014817133364479213
9.670244657189827e-5	1.2596236783036173e-29	0.00014678619339576301	0.000146786193395763
0	3.063264481106771e-32	0.00014541129063884797	0.00014541129063884794
9.670244657189827e-5	6.952883478863889e-35	0.00014404693958604555	0.00014404693958604555
0	1.4795058395469501e-37	0.00014269337392268781	0.00014269337392268784
0	2.9630533927164284e-40	0.0001413507658543031	0.00014135076585430315
9.670244657189827e-5	5.6045234063950126e-43	0.00014001923988367782	0.00014001923988367788
0	1.0042845958918416e-45	0.00013869888297875598	0.000138698882978756
0	1.7096157917282602e-48	0.0001373897522112299	0.0001373897522112299
9.670244657189827e-5	2.771730118735824e-51	0.00013609188058616353	0.00013609188058616358
0	4.2894338560489654e-54	0.00013480528155417098	0.00013480528155417098
0	6.3495632594091e-57	0.00013352995254838816	0.00013352995254838816
0	9.007501179835255e-60	0.00013226587778890348	0.00013226587778890348
0.0002901073397156948	1.2266934153167675e-62	0.00013101303052955932	0.00013101303052955938
9.670244657189827e-5	1.6063286343435897e-65	0.0001297713748750961	0.0001297713748750961
0	2.0255471268637974e-68	0.0001285408672635506	0.0001285408672635506
0.0002901073397156948	2.462952497402225e-71	0.00012732145768518574	0.0001273214576851857
0	2.8915436514227237e-74	0.00012611309069209648	0.00012611309069209648
0	3.281558971872867e-77	0.0001249157062400608	0.00012491570624006076
9.670244657189827e-5	3.604045245001775e-80	0.00012372924039486452	0.00012372924039486454
0	3.834528510495644e-83	0.00012255362592831454	0.00012255362592831451
9.670244657189827e-5	3.956122640686455e-86	0.00012138879282383725	0.00012138879282383722
9.670244657189827e-5	3.961526308026542e-89	0.00012023466870748545	0.00012023466870748544
0	3.853596288914062e-92	0.00011909117921703253	0.00011909117921703256
9.670244657189827e-5	3.644478809107096e-95	0.00011795824831938273	0.00011795824831938273
0	3.353554899303215e-98	0.00011683579858460426	0.00011683579858460429
9.670244657189827e-5	3.0046475700368055e-101	0.0001157237514233733	0.00011572375142337333
0	2.623014230829457e-104	0.00011462202729340613	0.00011462202729340613
9.670244657189827e-5	2.2326074547482886e-107	0.00011353054587948955	0.00011353054587948954
0	1.8539594409798837e-110	0.00011244922625093756	0.00011244922625093755
0	1.5028742850707585e-113	0.0001113779869996701	0.00011137798699967013
0	1.189942327174524e-116	0.00011031674636159422	0.00011031674636159421
0.00048351223285949136	9.207568353112414e-120	0.00010926542232354363	0.00010926542232354364
0	6.96633175464876e-123	0.00010822393271768752	0.00010822393271768756
0	5.1560608750027746e-126	0.00010719219530502856	0.00010719219530502858
0	3.7350110698998705e-129	0.0001061701278493729	0.00010617012784937292
9.670244657189827e-5	2.64924651069243e-132	0.00010515764818295467	0.00010515764818295465
0	1.8407635499583514e-135	0.00010415467426472994	0.00010415467426472994
0	1.2534289370641674e-138	0.0001031611242322152	0.0001031611242322152
9.670244657189827e-5	8.367606636447864e-142	0.00010217691644762548	0.0001021769164476255
0	5.478600428281735e-145	0.00010120196953896778	0.00010120196953896778
9.670244657189827e-5	3.519374415576664e-148	0.00010023620243665882	0.00010023620243665882
9.670244657189827e-5	2.2189291105871134e-151	9.927953440616401e-5	9.927953440616404e-5
0	1.3735752390591455e-154	9.833188507709112e-5	9.833188507709113e-5
0.00019340489314379654	8.350954960620042e-158	9.739317446911936e-5	9.739317446911935e-5
9.670244657189827e-5	4.988075297873158e-161	9.646332301509795e-5	9.646332301509793e-5
0.00019340489314379654	2.9280380915986835e-164	9.554225158160807e-5	9.55422515816081e-5
0.00019340489314379654	1.6896487278929966e-167	9.462988148724873e-5	9.462988148724873e-5
9.670244657189827e-5	9.587754173454539e-171	9.372613451887494e-5	9.372613451887494e-5
0	5.351293490271417e-174	9.283093294599383e-5	9.283093294599382e-5
