Plasmid_69	Plasmid_69_contaminant	Plasmid_69_expression	Plasmid_69_mixture
0.39251523063533506	5.574035606459641e-9	0.3679744752226253	0.36797448079666095
0.1341262933952229	2.3992990910307424e-9	0.20069706539612955	0.20069706779542865
0.08993327531186539	5.163795618339514e-10	0.07572872457242115	0.0757287250888007
0.06498404409631564	7.40904855301641e-11	0.035298377626827554	0.03529837770091804
0.04670728169422687	7.97291438094423e-12	0.023003243727808462	0.023003243735781376
0.03684363214389324	6.863754585599248e-13	0.017760405911195435	0.017760405911881813
0.03007446088386036	4.924080534876649e-14	0.014668111267612097	0.014668111267661335
0.023692099410115075	3.0279016050264764e-15	0.012539249191341173	0.012539249191344201
0.01856686974180447	1.6291700667133043e-16	0.010962840877798807	0.010962840877798972
0.013828449859781452	7.791813759714806e-18	0.009742342366735055	0.009742342366735064
0.012184508268059183	3.3539239773602124e-19	0.008766749897698116	0.008766749897698121
0.009863649550333623	1.3124270715165966e-20	0.007967583631297561	0.007967583631297561
0.007542790832608065	4.707697890203501e-22	0.007300041743269581	0.0073000417432695815
0.008026303065467557	1.558762263835565e-23	0.006733483453104144	0.006733483453104141
0.007542790832608065	4.792548301244066e-25	0.006246197970481649	0.006246197970481652
0.004641717435451117	1.3752760829837697e-26	0.005822347943894871	0.005822347943894872
0.004254907649163524	3.699853760347487e-28	0.005450095170248977	0.005450095170248977
0.003191180736872643	9.368073469554354e-30	0.005120404778766003	0.0051204047787660025
0.00280437095058505	2.2402290974247972e-31	0.004826256414150342	0.00482625641415034
0.002514263610869355	5.075203767722973e-33	0.004562108838826014	0.0045621088388260135
0.002997775843728846	1.0922904558218033e-34	0.004323527443101434	0.004323527443101432
0.0018373464848660671	2.2388938069502903e-36	0.004106919419364092	0.004106919419364091
0.0016439415917222705	4.3805179579609034e-38	0.003909341840028556	0.003909341840028556
0.0016439415917222705	8.198082414237371e-40	0.003728360175037927	0.003728360175037927
0.001063726912290881	1.4703329473622354e-41	0.003561942383074472	0.003561942383074472
0.0015472391451503724	2.5315722777446927e-43	0.003408378528417522	0.0034083785284175216
0.001063726912290881	4.1911348463251704e-45	0.0032662190012394815	0.003266219001239481
0.0012571318054346776	6.681631511169391e-47	0.0031342264896915624	0.0031342264896915633
