Plasmid_58	Plasmid_58_contaminant	Plasmid_58_expression	Plasmid_58_mixture
0.739875	0.7399303201529756	0.0003880438711220671	0.7403183640240977
0.143	0.13958701023022604	0.0004968169350553088	0.14008382716528137
0.02625	0.028886125345607194	0.0005361586081785146	0.02942228395378571
0.00575	0.0055351622803975695	0.0005545432254960154	0.006089705505893585
0.0025	0.001005718913738069	0.0005653197750207136	0.0015710386887587827
0.002125	0.0001755941214940145	0.0005724498231518133	0.0007480439446458277
0.001375	2.970993648251759e-5	0.0005773812728381618	0.0006070912093206794
0.001125	4.899651122268325e-6	0.0005807967721033172	0.0005856964232255856
0.001	7.908855449609203e-7	0.0005830882127992791	0.0005838790983442402
0.0005	1.2534530143793424e-7	0.0005845090774317601	0.000584634422733198
0.000625	1.955247143574684e-8	0.0005852353713668078	0.0005852549238382435
0.000375	3.0076688534960626e-9	0.0005853951514255111	0.0005853981590943646
0.000375	4.5695105307571765e-10	0.0005850848374062598	0.0005850852943573127
0.00025	6.86559012327127e-11	0.0005843790087515506	0.0005843790774074518
0.000875	1.0212221726367158e-11	0.0005833366332392543	0.000583336643451476
0.000375	1.5051881321636063e-12	0.0005820051992991084	0.0005820052008042967
0.000375	2.2000196567732808e-13	0.0005804235524222298	0.0005804235526422316
0.000125	3.190939915524709e-14	0.0005786238980161105	0.0005786238980480199
0.000375	4.595369835470155e-15	0.0005766332502499865	0.0005766332502545816
0.00025	6.574375642363829e-16	0.0005744745022947185	0.0005744745022953759
0.00025	9.347968777289325e-17	0.0005721672315178819	0.0005721672315179752
0	1.32154914415024e-17	0.0005697283151720078	0.000569728315172021
0.000375	1.8582698224759876e-18	0.0005671724080279342	0.000567172408027936
0.00025	2.5997632125263127e-19	0.0005645123177434071	0.0005645123177434074
0.0005	3.619802300616164e-20	0.0005617593033342965	0.0005617593033342965
0.000125	5.017374789753345e-21	0.0005589233150344053	0.0005589233150344055
0.00025	6.924893603929434e-22	0.0005560131889281165	0.0005560131889281165
0	9.518964123379507e-23	0.0005530368062893776	0.0005530368062893776
0.00025	1.3034472110250787e-23	0.0005500012250936111	0.0005500012250936109
0	1.7782975991162163e-24	0.0005469127893806249	0.0005469127893806245
0.000375	2.4176667850390893e-25	0.0005437772208330407	0.0005437772208330406
0.000375	3.275952552939305e-26	0.0005405996959585121	0.0005405996959585121
0	4.4247734262782564e-27	0.000537384911530395	0.0005373849115303951
0.00025	5.958203628708097e-28	0.0005341371403846135	0.0005341371403846135
0.0005	7.999540350125587e-29	0.0005308602792436338	0.0005308602792436338
0.00075	1.071003625604903e-29	0.0005275578899084194	0.0005275578899084194
0.000125	1.4300148520928415e-30	0.0005242332349019201	0.00052423323490192
0.000625	1.9044005369439244e-31	0.0005208893084454535	0.0005208893084454534
0.000875	2.5297980246479087e-32	0.000517528863489308	0.000517528863489308
0.0005	3.352450240039581e-33	0.0005141544353913488	0.000514154435391349
0.0005	4.432253346392062e-34	0.0005107683627350998	0.0005107683627350996
0.00025	5.84665182883798e-35	0.0005073728056962125	0.0005073728056962124
0.000125	7.695609444591064e-36	0.0005039697622992047	0.000503969762299205
0.00025	1.0107944289469135e-36	0.0005005610828516405	0.0005005610828516406
0.000375	1.3249391270689178e-37	0.0004971484827980464	0.0004971484827980465
0.00025	1.7332849328586389e-38	0.0004937335541988466	0.0004937335541988468
0.00025	2.263138850964863e-39	0.0004903177760089359	0.000490317776008936
0.000375	2.9494739286405376e-40	0.0004869025233050067	0.00048690252330500696
0.000625	3.8370170570612314e-41	0.000483489075589411	0.0004834890755894109
0.000875	4.982889262507e-42	0.00048007862428046233	0.0004800786242804623
0.000375	6.459940762561211e-43	0.00047667227948400086	0.0004766722794840008
0.00075	8.360958766201827e-44	0.0004732710761283029	0.0004732710761283031
0.0005	1.0803970443119993e-44	0.00046987597953360676	0.0004698759795336066
0.000375	1.3938918768321044e-45	0.00046648789047830987	0.00046648789047830976
0.000375	1.7956057643958257e-46	0.0004631076498160397	0.0004631076498160397
0.000625	2.3096497993846215e-47	0.00045973604269104284	0.0004597360426910429
0.000625	2.966544233843527e-48	0.00045637380239355637	0.0004563738023935564
0.0005	3.804877651726823e-49	0.00045302161389181885	0.00045302161389181896
0.000375	4.8733849672472585e-50	0.0004496801170730699	0.0004496801170730699
0.000375	6.233547464452777e-51	0.0004463499097221319	0.0004463499097221317
0.0005	7.962842953451347e-52	0.0004430315502629222	0.00044303155026292196
0.000125	1.0158804837419493e-52	0.0004397255602854061	0.0004397255602854061
0.0005	1.2944086813724442e-53	0.00043643242687802213	0.0004364324268780222
0.00075	1.647277673011001e-54	0.00043315260478344524	0.00043315260478344513
0.0005	2.093826081467133e-55	0.0004298865183936525	0.0004298865183936527
0.000125	2.658301058448026e-56	0.00042663456359858003	0.00042663456359858
0.000375	3.371075225757075e-57	0.00042339710950118416	0.00042339710950118405
0.0005	4.270158617151241e-58	0.00042017450001042563	0.00042017450001042547
0.000625	5.403075610248388e-59	0.00041696705532253276	0.00041696705532253265
0.001125	6.829193104461297e-60	0.0004137750732998868	0.00041377507329988685
0.00025	8.622606174274513e-61	0.0004105988307559623	0.00041059883075596237
0	1.087571193613524e-61	0.0004074385846539454	0.00040743858465394536
0.001	1.370363242267498e-62	0.0004042945732259409	0.00040429457322594076
0.0005	1.7249684092080356e-63	0.0004011670170190275	0.00040116701701902753
0.0005	2.1692136714264967e-64	0.0003980561198738546	0.00039805611987385453
0.0005	2.7252559596736666e-65	0.00039496206984095117	0.0003949620698409511
0.0005	3.4206120665858283e-66	0.0003918850400394637	0.00039188504003946357
0.000625	4.289428650876992e-67	0.0003888251894626178	0.0003888251894626177
0.00025	5.374047239616852e-68	0.0003857826637338301	0.00038578266373383015
0.00025	6.726931454216309e-69	0.0003827575958170575	0.00038275759581705743
0.0005	8.413038726702322e-70	0.00037975010668466803	0.000379750106684668
0.00025	1.0512737120180292e-70	0.0003767603059458439	0.00037676030594584387
0.0005	1.3125390235634485e-71	0.0003737882924382785	0.00037378829243827846
