Plasmid_60	Plasmid_60_noise	Plasmid_60_expression	Plasmid_60_mixture
0.6027600364963503	0.5854380516498573	0.011621326257845252	0.5970593779077025
0.18464872262773724	0.18788541307735135	0.009720193283439399	0.19760560636079075
0.07105383211678833	0.0689094567456797	0.007751947272352026	0.07666140401803172
0.03318886861313869	0.024481372776843664	0.0062866273787137135	0.03076800015555738
0.014826642335766423	0.008466373993250204	0.005268076694085922	0.013734450687336124
0.0083257299270073	0.002866260646145291	0.0045498604930722586	0.00741612113921755
0.005474452554744526	0.000953929989590097	0.004021760079411125	0.004975690069001222
0.0037636861313868615	0.0003130617182743197	0.003615233870658466	0.003928295588932785
0.0033074817518248174	0.00010154168472290275	0.003289527950267318	0.00339106963499022
0.0030793795620437958	3.260714809794664e-5	0.00302016041905298	0.0030527675671509274
0.002509124087591241	1.0380611314117546e-5	0.0027918924202684357	0.002802273031582552
0.0028512773722627737	3.2797655962182046e-6	0.0025948014972790104	0.0025980812628752284
0.0028512773722627737	1.0293240121859437e-6	0.002422128138740692	0.0024231574627528773
0.0017107664233576643	3.211172098312841e-7	0.0022690766101991938	0.0022693977274090256
0.0019388686131386861	9.964107131128402e-8	0.002132124820520463	0.002132224461591774
0.002737226277372263	3.0767851823022326e-8	0.0020086106310904877	0.002008641398942311
0.0015967153284671533	9.4586319101799e-9	0.0018964732615765058	0.0018964827202084158
0.0018248175182481751	2.895970663565971e-9	0.00179408518686479	0.0017940880828354532
0.0019388686131386861	8.833558590302958e-10	0.0017001389977368583	0.0017001398810927168
0.0019388686131386861	2.6851982160195395e-10	0.0016135689349990293	0.0016135692035188507
0.002281021897810219	8.136260752012082e-11	0.001533495052605204	0.0015334951339678116
0.0018248175182481751	2.4579757330278842e-11	0.0014591825942706544	0.0014591826188504122
0.0017107664233576643	7.404921029723985e-12	0.0013900118649486882	0.001390011872353609
0.002281021897810219	2.2250014621763304e-12	0.0013254555059409776	0.001325455508165979
0.0014826642335766423	6.669240954995014e-13	0.0012650610962806586	0.0012650610969475837
0.0010264598540145986	1.9944414355440256e-13	0.0012084376528354842	0.0012084376530349292
0.0013686131386861315	5.95143455640421e-14	0.0011552450286042135	0.0011552450286637275
0.0010264598540145986	1.772267065298681e-14	0.0011051854955712566	0.0011051854955889799
0.0009124087591240876	5.267335310859757e-15	0.0010579969950483556	0.001057996995053623
0.0015967153284671533	1.562608822795684e-15	0.001013447675492993	0.0010134476754945555
0.0017107664233576643	4.627503909099072e-16	0.0009713314348889077	0.0009713314348893707
0.0005702554744525547	1.368097722197622e-16	0.0009314642545539462	0.0009314642545540833
0.0010264598540145986	4.038267151868521e-17	0.0008936811620526084	0.000893681162052649
0.0012545620437956204	1.190177865945922e-17	0.0008578336983402897	0.0008578336983403017
0.0009124087591240876	3.502649110296676e-18	0.0008237877921766215	0.0008237877921766251
0.0009124087591240876	1.0293814734784394e-18	0.0007914219658622813	0.0007914219658622826
0.0014826642335766423	3.0211771159861534e-19	0.0007606258123323756	0.0007606258123323753
0.0010264598540145986	8.855633836118929e-20	0.0007312986958970571	0.0007312986958970572
0.0009124087591240876	2.592559448262403e-20	0.0007033486384021529	0.0007033486384021529
0.0013686131386861315	7.58095643355235e-21	0.0006766913599754046	0.000676691359975405
0.0009124087591240876	2.2142406071996256e-21	0.0006512494493306735	0.0006512494493306741
0.0004562043795620438	6.460249952886821e-22	0.0006269516431950462	0.0006269516431950462
0.0006843065693430657	1.8828452746205934e-22	0.0006037321980801412	0.0006037321980801412
0.0002281021897810219	5.481972638231075e-23	0.0005815303405478799	0.0005815303405478801
0.0006843065693430657	1.5945246154601198e-23	0.0005602897844811547	0.0005602897844811549
0.0007983576642335766	4.633531337395179e-24	0.0005399583057822502	0.0005399583057822501
0.0004562043795620438	1.3452193268973666e-24	0.000520487366479695	0.0005204873664796953
0.0006843065693430657	3.9019984949196637e-25	0.0005018317814996111	0.0005018317814996107
0.00011405109489051095	1.1308534461565206e-25	0.000483949422406778	0.000483949422406778
0.0004562043795620438	3.274631145122169e-26	0.00046680095328766903	0.00046680095328766887
0.0004562043795620438	9.474718454463715e-27	0.0004503495946672939	0.00045034959466729366
0.0006843065693430657	2.7392306014431827e-27	0.0004345609119515067	0.0004345609119515068
0.0006843065693430657	7.913329017352337e-28	0.00041940262538829555	0.00041940262538829544
0.00034215328467153286	2.284376697082772e-28	0.0004048444389631622	0.0004048444389631624
0.0005702554744525547	6.589662528052423e-29	0.0003908578859991376	0.00039085788599913765
0.0006843065693430657	1.8995654177894362e-29	0.0003774161895326632	0.0003774161895326631
0.0002281021897810219	5.472039844140315e-30	0.0003644941357918566	0.0003644941357918566
0.0002281021897810219	1.5752739429415634e-30	0.0003520679593210615	0.0003520679593210614
0.00011405109489051095	4.531921250935971e-31	0.0003401152384813196	0.00034011523848131965
0.00034215328467153286	1.3029726873804012e-31	0.0003286148002155479	0.0003286148002155481
0.0005702554744525547	3.7438800389203056e-32	0.0003175466331039619	0.0003175466331039617
0.0002281021897810219	1.0751000204102527e-32	0.0003068918078531537	0.0003068918078531536
0.0006843065693430657	3.0854787357388544e-33	0.0002966324044640719	0.0002966324044640719
0.00011405109489051095	8.850119658059002e-34	0.0002867514454123723	0.0002867514454123723
0.0002281021897810219	2.537082207235445e-34	0.00027723283425124494	0.00027723283425124494
0	7.269163478387641e-35	0.0002680612991135297	0.0002680612991135297
0.0002281021897810219	2.0816336683841487e-35	0.00025922234064815474	0.0002592223406481545
0.0004562043795620438	5.9579850613928884e-36	0.00025070218397685073	0.0002507021839768508
0.00034215328467153286	1.704412963883015e-36	0.00024248773430173357	0.00024248773430173348
0.00034215328467153286	4.873438048897784e-37	0.00023456653583355354	0.00023456653583355346
0.00011405109489051095	1.392791113623707e-37	0.00022692673374493283	0.00022692673374493264
0.00034215328467153286	3.9786065164161186e-38	0.00021955703888334934	0.00021955703888334942
0.0004562043795620438	1.1359908853774328e-38	0.00021244669500553642	0.0002124466950055363
0.00034215328467153286	3.2420655990204784e-39	0.00020558544831878462	0.00020558544831878465
0.00011405109489051095	9.24859876168403e-40	0.00019896351913576988	0.00019896351913576983
0.0005702554744525547	2.637188826303264e-40	0.00019257157546830267	0.00019257157546830265
0.00011405109489051095	7.51660088862384e-41	0.00018640070840211624	0.0001864007084021163
0.0004562043795620438	2.141511611285259e-41	0.00018044240910970963	0.00018044240910970947
0.00034215328467153286	6.098761333414824e-42	0.0001746885473715783	0.00017468854737157826
0.00034215328467153286	1.7361553173483727e-42	0.00016913135148807277	0.00016913135148807274
0.00011405109489051095	4.940428336984164e-43	0.00016376338947479016	0.00016376338947479016
0.00011405109489051095	1.405312736727776e-43	0.00015857755144398577	0.00015857755144398574
0.00034215328467153286	3.9959207503547766e-44	0.0001535670330830858	0.00015356703308308577
0.00011405109489051095	1.1357933381603721e-44	0.00014872532014913227	0.00014872532014913235
0.0002281021897810219	3.227180848084965e-45	0.00014404617390496378	0.00014404617390496378
0.00011405109489051095	9.16625019342888e-46	0.00013952361742923202	0.00013952361742923208
0	2.6025993978827943e-46	0.00013515192273804767	0.00013515192273804767
0.00011405109489051095	7.387081201791027e-47	0.00013092559866119218	0.0001309255986611922
0.00011405109489051095	2.095998606186702e-47	0.00012683937942049864	0.00012683937942049864
0	5.945169459806399e-48	0.0001228882138622357	0.0001228882138622358
0	1.685757539774709e-48	0.0001190672552991679	0.00011906725529916795
0.00011405109489051095	4.778438822794786e-49	0.00011537185192146133	0.00011537185192146128
0	1.354064502074315e-49	0.00011179753773878369	0.00011179753773878366
0.00011405109489051095	3.835812510105171e-50	0.00010834002401884445	0.00010834002401884443
0	1.0862813325156641e-50	0.0001049951911902656	0.0001049951911902656
0.00011405109489051095	3.0753628227457226e-51	0.0001017590811800891	0.00010175908118008904
0.0002281021897810219	8.704054803004629e-52	9.86278901584341e-5	9.86278901584341e-5
0	2.4627489717213212e-52	9.559796166483893e-5	9.55979616648389e-5
0.00011405109489051095	6.966168184035682e-53	9.266578009267307e-5	9.266578009267302e-5
0	1.9699037148317515e-53	8.982796450970414e-5	8.982796450970411e-5
0	5.56897391599455e-54	8.708126279446244e-5	8.708126279446241e-5
0.00034215328467153286	1.573933457573931e-54	8.442254606947741e-5	8.44225460694774e-5
0.00011405109489051095	4.4471355026486395e-55	8.184880341378054e-5	8.184880341378051e-5
0.0002281021897810219	1.2562004270476841e-55	7.935713683827753e-5	7.935713683827752e-5
0.00011405109489051095	3.5475115247559757e-56	7.694475650871482e-5	7.694475650871484e-5
0.00011405109489051095	1.0015593293736624e-56	7.460897620199161e-5	7.460897620199157e-5
0	2.826956832523314e-57	7.234720898252295e-5	7.234720898252295e-5
0	7.977244585547598e-58	7.015696308623612e-5	7.015696308623614e-5
0.00011405109489051095	2.2505021929262605e-58	6.803583800059556e-5	6.803583800059555e-5
0	6.347464854837096e-59	6.598152072980328e-5	6.598152072980332e-5
0	1.7898514851036407e-59	6.399178223501777e-5	6.399178223501779e-5
0	5.045810962773888e-60	6.206447404007867e-5	6.206447404007868e-5
0.00011405109489051095	1.4221443219737277e-60	6.0197524993823906e-5	6.01975249938239e-5
