pBB_AA_1176_ETS1	pBB_AA_1179_DLX1	pBB_AA_1186_ETS1	pBB_AA_1188_BPTF	pBB_AA_1192_FOXP1	pBB_AA_1208_GFI1	pBB_AA_1213_RUNX3	pBB_AA_1214_RUNX2	pBB_AA_1225_FLI1	pBB_AA_1230_ZNF699	pBB_AA_1247_KLF1	pBB_AA_1249_ERG	pBB_AA_1251_TBX19	pBB_AA_1264_ATF6B	pBB_AA_1274_RUNX1	pBB_AA_1276_CENPB	pBB_AA_1283_NFIX	pBB_AA_1286_SOX13	pBB_AA_1296_IRF8	pBB_AA_1297_SPI1	pBB_AA_1306_CEBPB	pBB_AA_1316_FLuc_1	pBB_AA_1317_FLuc_2	pBB_AA_1318_FLuc_3	pBB_AA_1319_FLuc_4
1	0	1	0	0	6	1	0	0	0	0	0	2	6	0	0	0	0	7	1	1	4	6	9	6
1	0	1	0	0	5	0	0	0	0	1	0	2	1	0	1	4	2	20	1	0	6	9	7	8
3	1	0	0	0	5	0	0	0	0	0	0	1	8	2	0	1	1	15	0	0	9	2	7	7
1	0	0	0	0	5	1	0	0	0	1	0	3	3	1	0	1	0	18	0	1	5	8	11	8
3	1	1	0	0	4	0	0	0	0	0	0	2	3	1	0	2	0	15	0	1	9	9	7	12
0	0	2	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	17	0	0	7	12	7	3
3	1	0	0	0	4	0	0	0	0	0	0	2	3	1	0	0	2	16	1	1	1	12	8	7
0	0	1	0	0	2	0	0	0	0	0	0	0	5	0	0	0	1	21	0	0	6	2	7	9
0	0	0	0	0	6	0	0	0	0	1	0	2	2	1	1	0	0	10	0	0	5	10	8	7
0	0	0	0	0	3	1	1	0	0	0	0	1	4	0	1	1	0	13	0	0	4	6	4	2
0	0	0	0	0	7	0	0	0	0	0	0	1	1	0	1	3	0	9	0	0	5	5	11	8
1	0	1	0	0	3	0	0	0	0	1	0	1	9	1	0	1	1	11	0	1	6	4	3	8
2	0	1	0	0	4	0	0	0	0	0	0	1	1	1	0	1	0	22	0	1	2	5	6	11
0	1	1	0	0	4	0	0	0	0	1	0	2	1	1	0	2	0	13	2	0	9	6	6	5
0	0	0	0	0	7	0	0	1	0	0	0	0	2	0	0	2	0	12	0	0	6	4	4	4
0	0	2	0	0	4	0	0	0	0	1	0	2	2	1	0	2	1	14	1	0	6	6	4	2
0	0	0	0	0	2	0	0	0	0	0	0	0	4	1	0	1	0	16	0	1	2	7	5	6
1	0	0	0	0	8	0	0	0	0	1	0	0	5	0	0	1	1	16	1	0	7	4	6	5
1	0	0	0	1	3	0	0	0	0	0	0	0	2	1	0	0	0	15	0	0	2	2	5	6
0	0	0	0	0	5	0	0	0	0	1	0	0	5	1	0	2	2	14	0	0	3	9	8	4
4	0	3	0	0	4	0	0	0	0	0	0	0	2	0	0	2	1	17	0	0	1	5	4	9
0	0	0	0	0	3	0	0	0	0	0	0	2	5	0	0	0	1	16	0	1	7	6	5	7
0	0	1	0	0	3	0	0	0	0	1	0	0	3	2	0	3	0	9	1	1	6	4	3	7
2	0	1	0	0	2	0	0	0	0	1	0	0	1	1	0	1	0	17	1	1	4	4	11	5
0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	19	1	0	6	6	5	7
0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	1	1	13	0	0	2	5	6	8
1	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	3	0	21	1	0	3	5	4	6
0	0	1	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	13	0	0	4	2	7	5
