Plasmid_24	Plasmid_24_contaminant	Plasmid_24_expression	Plasmid_24_mixture
0.9972923314959868	0.9937479884677186	0.003545147433467968	0.9972931359011866
0.00222415627115366	0.000693131625934289	0.0012313932433697427	0.001924524869304032
0.0003868097862875931	5.370956295688387e-6	0.0004694077381360627	0.0004747786944317511
0	4.2738926318619284e-8	0.00018436791203799965	0.00018441065096431834
0	3.442846249052767e-10	7.347917972925835e-5	7.347952401388325e-5
0	2.7924275136754186e-12	2.9539478947365362e-5	2.9539481739792876e-5
0	2.274522157842852e-14	1.194342531747118e-5	1.1943425340216404e-5
0	1.8579025866524184e-16	4.848671235697084e-6	4.848671235882875e-6
0	1.5205710535962781e-18	1.9744108427917423e-6	1.9744108427932627e-6
9.670244657189827e-5	1.2462383171724506e-20	8.058920254376434e-7	8.058920254376562e-7
